year,demographic,category,vol_type,count_1000,avg_hours,p25,p50,p75
2006,municipality_size,"â‰¤10,000 inhabitants",Informal,849.2,6.27,0.7,2.39,7.89
2006,municipality_size,"â‰¤100,000 inhabitants",Total,627.9,7.65,0.8,2.93,7.38
2006,municipality_size,"â‰¤100,000 inhabitants",Formal,282.8,4.65,0.47,1.95,5.04
2006,municipality_size,"â‰¤100,000 inhabitants",Informal,451.8,6.15,0.51,2.15,6.95
2006,municipality_size,">100,000 inhabitants",Total,1107.4,6.36,0.66,2.37,6.58
2006,municipality_size,">100,000 inhabitants",Formal,346.4,4.9,0.73,2.07,4.59
2006,municipality_size,">100,000 inhabitants",Informal,737.2,5.58,0.47,1.85,6.35
2006,region,all,Total,3750.8,6.26,0.73,2.84,8.26
2006,region,all,Formal,1974.2,5.19,0.5,1.97,5.26
2006,region,all,Informal,2786.9,6.34,0.45,2.08,7.38
2006,region,burgenland,Total,126.7,6.37,0.84,2.52,7.63
2006,region,burgenland,Formal,53.7,2.93,0.52,1.69,3.77
2006,region,burgenland,Informal,80.8,6.51,0.61,2.22,8.77
2006,region,Kأ¤rnten,Total,246.4,6.05,0.98,2.78,7.66
2006,region,Kأ¤rnten,Formal,96.3,4.71,0.74,2.07,4.73
2006,region,Kأ¤rnten,Informal,177.7,5.63,0.63,2.22,8.49
2006,region,Niederأ¶sterreich,Total,802.4,6.97,0.78,2.87,10.16
2006,region,Niederأ¶sterreich,Formal,409.6,4.49,0.47,1.82,5.4
2006,region,Niederأ¶sterreich,Informal,549.9,6.44,0.48,2.1,8.22
2006,region,Oberأ¶sterreich,Total,618.9,7.13,0.85,2.84,8.46
2006,region,Oberأ¶sterreich,Formal,391.0,5.25,0.52,1.99,5.68
2006,region,Oberأ¶sterreich,Informal,463.0,5.76,0.49,2.21,5.47
2006,region,salzburg,Total,251.1,7.85,0.84,3.77,10.05
2006,region,salzburg,Formal,139.5,6.59,0.64,2.29,6.84
2006,region,salzburg,Informal,194.6,5.58,0.54,2.9,8.3
2006,region,steiermark,Total,514.1,7.0,0.96,3.03,7.35
2006,region,steiermark,Formal,243.7,4.62,0.57,1.93,4.98
2006,region,steiermark,Informal,405.2,6.54,0.66,2.76,7.6
2006,region,tirol,Total,286.5,6.73,0.68,2.88,7.85
2006,region,tirol,Formal,179.3,4.18,0.49,1.99,5.46
2006,region,tirol,Informal,237.1,6.04,0.45,2.19,7.36
2006,region,vorarlberg,Total,189.1,6.26,0.85,2.79,7.51
2006,region,vorarlberg,Formal,81.4,4.02,0.44,1.6,4.04
2006,region,vorarlberg,Informal,114.1,6.74,0.93,2.86,8.0
2006,region,wien,Total,689.1,5.74,0.63,2.44,7.55
2006,region,wien,Formal,242.2,4.94,0.62,1.69,4.57
2006,region,wien,Informal,495.5,5.55,0.5,1.63,6.28
2006,task_type,leadership,Total,523.3,9.63,1.82,5.06,13.39
2006,task_type,leadership,Formal,459.5,7.85,1.27,3.47,10.24
2006,task_type,leadership,Informal,216.1,5.07,0.56,2.12,7.17
2006,task_type,core_tasks,Total,926.7,7.42,1.14,4.05,9.86
2006,task_type,core_tasks,Formal,973.9,5.25,0.88,2.44,5.83
2006,task_type,core_tasks,Informal,506.0,5.35,0.49,2.01,6.56
2006,task_type,support_tasks,Total,808.9,6.86,0.8,2.68,8.69
2006,task_type,support_tasks,Formal,692.8,4.3,0.35,1.2,4.38
2006,task_type,support_tasks,Informal,456.2,5.89,0.59,2.38,7.38
2012,Total,all,Total,3272.3,6.61,0.76,2.85,8.33
2012,Total,all,Formal,1597.9,4.84,0.53,2.15,4.78
2012,Total,all,Informal,2549.1,5.67,0.49,2.31,7.22
2012,gender,male,Total,1826.7,6.77,0.77,2.91,7.65
2012,gender,male,Formal,1184.9,5.62,0.65,2.02,5.22
2012,gender,male,Informal,1399.8,5.73,0.39,1.73,6.16
2012,gender,female,Total,1629.8,7.76,0.94,3.2,8.99
2012,gender,female,Formal,727.8,4.47,0.5,1.51,3.61
2012,gender,female,Informal,1251.0,6.55,0.71,2.75,7.54
2012,age_group,<40,Total,1288.3,5.61,0.75,2.29,7.24
2012,age_group,<40,Formal,624.8,5.14,0.67,2.01,6.31
2012,age_group,<40,Informal,879.4,4.91,0.49,1.74,4.77
2012,age_group,40-59,Total,1250.1,6.66,0.85,3.1,8.92
2012,age_group,40-59,Formal,605.6,4.55,0.47,1.95,4.94
2012,age_group,40-59,Informal,918.0,5.99,0.5,2.3,6.86
2012,age_group,60+,Total,1006.2,7.4,0.72,3.31,9.24
2012,age_group,60+,Formal,429.8,5.37,0.52,1.79,4.74
2012,age_group,60+,Informal,720.0,7.45,0.63,2.84,9.43
2012,education,compulsory_max,Total,451.4,6.94,0.52,1.88,6.99
2012,education,compulsory_max,Formal,200.0,4.59,0.47,1.86,4.68
